year,site,month,date,diver.bottom,transect, Crustose_algae , Sand , Basalts , Rubble , C._sertularioides , CCA , coral , Bleached_coral , Macroalgae , Other , Rhodoliths , Turf 
2016,Palmitas,16-Aug,8/2/2016,Carolina Salas,1,0,16.6,0,0,61.23,0.3,0.05,0,0,7.43,0,14.4
2016,Palmitas,16-Aug,8/2/2016,Carolina Salas,2,0,11.2,0,0,72.4,0.98,0.03,0,0.2,7.9,0,7.3
2016,Palmitas,16-Aug,8/2/2016,Carolina Salas,3,0,10.7,0,0,78.48,0.6,0.03,0,0,1,0,9.2
2016,Palmitas,16-Aug,8/2/2016,Celeste Sánchez,4,0,9.8,0,0,83.5,0.28,0.05,0,0,0.68,0,5.7
2016,Palmitas,16-Aug,8/2/2016,Celeste Sánchez,5,0,35.45,0,0,58.88,0.93,0,0,0,0.35,0,4.4
2016,Palmitas,16-Aug,8/2/2016,Celeste Sánchez,6,0,32.5,0,0,19.53,3.03,5.5,0,0.1,2.85,0,36.5
2016,Palmitas,16-Nov,11/22/2016,Celeste Sánchez,1,0,17.7,0,0,78.85,0.33,0.03,0,0,1.4,0,1.7
2016,Palmitas,16-Nov,11/22/2016,Celeste Sánchez,2,0,20,0,0,75.28,0.13,0,0,0,1.3,0,3.3
2016,Palmitas,16-Nov,11/22/2016,Celeste Sánchez,3,0,52.5,0,0,41.6,0.15,0,0,0.05,0.15,0,5.55
2016,Pelonas,16-Feb,2/3/2016,Carolina Salas,4,0.03,32.98,0,0,55.7,0.8,0.48,0,1.38,0.95,0,7.7
2016,Pelonas,16-Feb,2/3/2016,Carolina Salas,5,0,8.6,0,0,82.63,1.95,0.05,0,3.98,0.9,0,1.9
2016,Pelonas,16-Feb,2/3/2016,Carolina Salas,6,0.03,13.68,0,0,79.33,0.33,0,0,2.83,0.23,0,3.6
2016,Pelonas,16-Feb,2/3/2016,Cindy Fernández,1,0,8.4,0,0,77.35,0.15,0.6,0,7.4,1.1,0,5
2016,Pelonas,16-Feb,2/3/2016,Cindy Fernández,2,0,34.3,0,0,10.1,1.7,0.15,0,1.45,0.4,0,51.9
2016,Pelonas,16-Feb,2/3/2016,Cindy Fernández,3,0,22.6,0,0,7.2,1.15,0,0,2.15,0.6,0,66.3
2016,Pelonas,16-Apr,4/27/2016,Juan José Alvarado,4,0,4.3,0,2.9,78.15,0.4,0.1,0,0,0.25,0,13.9
2016,Pelonas,16-Apr,4/27/2016,Juan José Alvarado,5,0,7.5,0,18.8,55.1,0.1,0,0,0,0,0,18.5
2016,Pelonas,16-Apr,4/27/2016,Juan José Alvarado,6,0,11.3,0,3.3,60.2,0,0,0,0,0.1,0,25.1
2016,Pelonas,16-Apr,4/27/2016,Maricruz Rojas,1,0,16.2,0,4.5,24.8,3.4,0,0,36.7,7.4,0,7
2016,Pelonas,16-Apr,4/27/2016,Maricruz Rojas,2,0,35.2,0,3,5.5,6.5,0,0,22,4.4,0,23.4
2016,Pelonas,16-Apr,4/27/2016,Maricruz Rojas,3,0,43.3,0,1.4,15.6,5.2,0,0,18,3.3,0,13.2
2016,Pelonas,16-Aug,8/4/2016,Carolina Salas,1,0.03,53.68,0,0,40.13,0.23,0,0,0.15,0.1,0,5.7
2016,Pelonas,16-Aug,8/4/2016,Carolina Salas,2,0,40.2,0,0,49.95,0.53,0,0,3.7,1.83,0,3.8
2016,Pelonas,16-Aug,8/4/2016,Carolina Salas,3,0.03,41.7,0,0,52,0.33,0,0,2.6,0.05,0,3.3
2016,Pelonas,16-Nov,11/23/2016,Celeste Sánchez,1,0.1,8.4,0,0.3,6.35,1.03,0.03,0,1.58,2.25,0,79.98
2016,Pelonas,16-Nov,11/23/2016,Celeste Sánchez,2,0,28.9,0,7.2,12,1.3,0,0,0.63,0.83,0,49.15
2016,Pelonas,16-Nov,11/23/2016,Celeste Sánchez,3,0.3,1,0,0,12.1,4.7,0,0,5.38,0.73,0,75.8
2016,Playa Blanca,16-Feb,2/3/2016,Carolina Salas,4,0,7.3,0,0,64.2,0.03,0.03,0,6.2,13.98,0,8.28
2016,Playa Blanca,16-Feb,2/3/2016,Carolina Salas,5,0,7.2,0,0,68.95,0,0,0,3.8,19.25,0,0.8
2016,Playa Blanca,16-Feb,2/3/2016,Carolina Salas,6,0,28.38,0,0,47.28,0.38,0,0,8.7,14.28,0,1
2016,Playa Blanca,16-Feb,2/3/2016,Cindy Fernández,1,0,6,0,0,67.68,0.2,0,0,9.9,0.6,0,15.63
2016,Playa Blanca,16-Feb,2/3/2016,Cindy Fernández,2,0,8.6,0,0,72.45,0,0.05,0,4.3,9,0,5.6
2016,Playa Blanca,16-Feb,2/3/2016,Cindy Fernández,3,0,2.6,0,0,83,0,0,0,4.9,8.6,0,0.9
2016,Playa Blanca,16-Apr,4/27/2016,Juan José Alvarado,4,0,6.3,0,1.1,81.45,0.2,0,0,0,3.65,0,7.3
2016,Playa Blanca,16-Apr,4/27/2016,Juan José Alvarado,5,0,3,0,0.1,89.7,0.2,0,0,0,2.8,0,4.2
2016,Playa Blanca,16-Apr,4/27/2016,Juan José Alvarado,6,0,5.1,0,0,88.7,0,0,0,0,2,0,4.2
2016,Playa Blanca,16-Apr,4/27/2016,Maricruz Rojas,1,0,13,0,4.8,45,3.5,0,0,14.9,18.8,0,0
2016,Playa Blanca,16-Apr,4/27/2016,Maricruz Rojas,2,0,7.3,0,6.9,49.5,1.9,0,0,12.3,22.1,0,0
2016,Playa Blanca,16-Apr,4/27/2016,Maricruz Rojas,3,0,6.8,0,4.4,70.9,1.8,0,0,4,11.8,0.3,0
2016,Playa Blanca,16-Aug,8/3/2016,Carolina Salas,1,0,64.95,0,2.1,29.95,0,0,0,0,3,0,0
2016,Playa Blanca,16-Aug,8/3/2016,Carolina Salas,2,0,13.7,0,0.4,68.63,0.23,0,0,0,16.55,0,0.5
2016,Playa Blanca,16-Aug,8/3/2016,Carolina Salas,3,0,7.6,0,0.2,80.23,0.35,0,0,0,9.03,0,2.6
2016,Playa Blanca,16-Aug,8/3/2016,Celeste Sánchez,4,0,30.33,0,18.1,47.68,0.15,0,0,0.03,3.73,0,0
2016,Playa Blanca,16-Aug,8/3/2016,Celeste Sánchez,5,0,12.6,0,1.5,81.9,0.48,0,0,2.2,1.33,0,0
2016,Playa Blanca,16-Aug,8/3/2016,Celeste Sánchez,6,0,2.8,0,0,41.25,0.08,0,0,0.25,0.45,0,55.18
